Lab_ID,BANDNUMB,Family,AOU,Com_Name,YR,Season,MO,DAY,ASEX,AAGE,SITE_MST,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,ST,FLYWAY,Cult_Res,Vir_Res,ELISA_Re,PRNT_Res,PRNT_Ttr,,,,,,,,,,,,,,,,,,
US01-0001,1373-23902,Icteridae,5110,Common Grackle,2001,Spring,4,6,M,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0002,8071-71318,Mimidae,7040,Gray Catbird,2001,Spring,4,6,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0003,8071-71319,Mimidae,7040,Gray Catbird,2001,Spring,4,6,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0004,8071-71320,Mimidae,7040,Gray Catbird,2001,Spring,4,7,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0005,8071-71321,Mimidae,7040,Gray Catbird,2001,Spring,4,7,U,AHY,JND,26,27,082,07,FL,A,NEG,,POS,WNV,1:160,,,,,,,,,,,,,,,,,,
US01-0006,1373-23903,Icteridae,5110,Common Grackle,2001,Spring,4,7,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0007,8071-71322,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,7,F,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0008,1013-12384,Picidae,4120,Yellow-shafted Flicker,2001,Spring,4,7,F,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0009,8071-71323,Mimidae,7040,Gray Catbird,2001,Spring,4,7,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0010,8071-71324,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,7,M,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0011,2141-83609,Parulidae,6750,Northern Waterthrush,2001,Spring,4,7,U,AHY,JND,26,27,082,07,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0012,8071-71333,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,11,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0013,8071-71334,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,11,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0014,2141-83578,Vireonidae,6240,Red-eyed Vireo,2001,Spring,4,11,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0015,8071-71335,Mimidae,7040,Gray Catbird,2001,Spring,4,11,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0016,8071-71336,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,11,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0017,8071-71337,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,11,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0018,1627-04104,Cathartidae,3250,Turkey Vulture,2001,Spring,4,11,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
